City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
1,Wanning,CN,2022-08-01 00:04:57,18.8003,110.3967,83.12,78,6,3.53,Paradise Hotel
3,Atuona,PF,2022-08-01 00:04:58,-9.8,-139.0333,76.89,74,12,13.69,Villa Enata
6,Meulaboh,ID,2022-08-01 00:00:04,4.1363,96.1285,76.69,87,97,4.27,Kost Pria
8,Butaritari,KI,2022-08-01 00:05:00,3.0707,172.7902,81.41,78,62,13.53,Isles Sunset Lodge
15,Makat,KZ,2022-08-01 00:05:04,47.6469,53.3463,80.78,36,90,7.87,Umit
24,Manzanillo,CU,2022-08-01 00:05:08,20.3433,-77.1167,80.62,78,89,9.66,"HOSTAL ""THE YELLOW HOUSE"""
25,Vaini,TO,2022-08-01 00:05:09,-21.2,-175.2,76.23,86,95,11.83,Keleti Beach Resort
33,Hithadhoo,MV,2022-08-01 00:05:12,-0.6,73.0833,80.78,74,100,16.67,Scoop Guest House
34,Kavaratti,IN,2022-08-01 00:00:24,10.5669,72.642,80.01,81,100,23.69,Green leaf
38,Banda Aceh,ID,2022-08-01 00:05:14,5.5577,95.3222,79.88,77,100,9.22,OYO 884 Rumoh PMI Hotel
39,Abeche,TD,2022-08-01 00:05:15,13.8292,20.8324,77.81,75,100,1.99,Assaleh Hamdan Haroune
44,San Miguel,SV,2022-08-01 00:05:17,13.4833,-88.1833,83.62,70,55,2.71,Excalibur
45,Sinnamary,GF,2022-08-01 00:05:18,5.3833,-52.95,78.62,85,55,6.38,ALETHEIA Appartement Sinnamary
48,Erenhot,CN,2022-08-01 00:06:20,43.6475,111.9767,80.82,40,66,8.1,Erenhot Rurouni Youth Hostel
49,Lianzhou,CN,2022-08-01 00:06:20,24.7811,112.3825,82.56,76,6,1.39,Qingcheng Tourism Industry
50,Kirakira,SB,2022-08-01 00:06:21,-10.4544,161.9205,83.95,73,25,12.19,SanBiz Lodge
