City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Korla,CN,2022-07-28 23:40:43,41.7597,86.1469,87.39,23,100,16.78
1,Minas,UY,2022-07-28 23:40:44,-34.3759,-55.2377,49.05,72,98,17.4
2,Yakeshi,CN,2022-07-28 23:40:44,49.2833,120.7333,68.27,74,86,2.24
3,Albany,US,2022-07-28 23:40:29,42.6001,-73.9662,81.34,68,74,3.0
4,Severo-Kurilsk,RU,2022-07-28 23:38:59,50.6789,156.125,55.45,87,86,9.04
5,Nikolskoye,RU,2022-07-28 23:40:46,59.7035,30.7861,58.8,89,91,3.74
6,Kyren,RU,2022-07-28 23:40:46,51.6828,102.1408,58.59,82,46,1.52
7,Xuanhua,CN,2022-07-28 23:40:47,40.6103,115.0447,73.65,74,3,3.29
8,Dikson,RU,2022-07-28 23:40:47,73.5069,80.5464,43.84,100,100,16.89
9,Flinders,AU,2022-07-28 23:40:48,-34.5833,150.8552,55.18,62,34,8.01
10,Mar Del Plata,AR,2022-07-28 23:40:48,-38.0023,-57.5575,48.22,96,100,15.01
11,Hithadhoo,MV,2022-07-28 23:40:49,-0.6,73.0833,81.79,74,95,13.51
12,Moose Factory,CA,2022-07-28 23:40:49,51.2585,-80.6094,64.4,94,0,8.05
13,Svetlogorsk,BY,2022-07-28 23:40:50,52.6333,29.7333,54.45,88,75,6.22
14,Stalpu,RO,2022-07-28 23:40:50,45.0833,26.7167,69.08,75,82,4.56
15,Bluff,NZ,2022-07-28 23:40:51,-46.6,168.3333,47.8,79,88,14.88
16,Bredasdorp,ZA,2022-07-28 23:36:04,-34.5322,20.0403,55.17,69,0,15.5
17,Ozernovskiy,RU,2022-07-28 23:40:52,51.5,156.5167,53.87,98,100,8.52
18,Capoterra,IT,2022-07-28 23:40:52,39.1763,8.9718,78.53,71,0,6.91
19,Aklavik,CA,2022-07-28 23:40:53,68.2191,-135.0107,55.4,76,75,3.44
20,Tura,IN,2022-07-28 23:40:53,25.5198,90.2201,74.16,93,54,2.51
21,Norman Wells,CA,2022-07-28 23:39:11,65.282,-126.8329,68.04,42,75,5.75
22,Busselton,AU,2022-07-28 23:40:54,-33.65,115.3333,57.76,68,87,15.14
23,Bambous Virieux,MU,2022-07-28 23:40:55,-20.3428,57.7575,70.21,88,40,8.05
24,Cherskiy,RU,2022-07-28 23:36:37,68.75,161.3,60.85,37,6,4.05
25,Yokadouma,CM,2022-07-28 23:40:56,3.5167,15.05,67.73,98,100,2.21
26,Anadyr,RU,2022-07-28 23:40:57,64.75,177.4833,54.1,76,40,15.66
27,Salinopolis,BR,2022-07-28 23:37:03,-0.6136,-47.3561,79.3,80,49,10.63
28,Airai,TL,2022-07-28 23:40:57,-8.9266,125.4092,61.77,52,88,4.23
29,Poso,ID,2022-07-28 23:40:58,-1.3959,120.7524,80.76,74,60,5.55
30,Chokurdakh,RU,2022-07-28 23:40:58,70.6333,147.9167,57.02,34,100,13.82
31,Castanos,MX,2022-07-28 23:40:59,26.7833,-101.4167,92.01,31,66,17.47
32,Ushuaia,AR,2022-07-28 23:41:00,-54.8,-68.3,40.66,81,40,18.41
33,Butaritari,KI,2022-07-28 23:41:00,3.0707,172.7902,81.86,72,57,15.75
34,Nalut,LY,2022-07-28 23:41:00,30.3333,10.85,87.1,20,54,12.97
35,Los Llanos De Aridane,ES,2022-07-28 23:41:01,28.6585,-17.9182,69.55,92,75,18.41
36,Saint George,US,2022-07-28 23:36:11,37.1041,-113.5841,99.25,29,0,12.66
37,Atuona,PF,2022-07-28 23:41:02,-9.8,-139.0333,76.35,79,34,23.94
38,Callaway,US,2022-07-28 23:41:02,30.153,-85.5699,86.99,76,0,11.5
39,Tautira,PF,2022-07-28 23:41:03,-17.7333,-149.15,77.25,78,23,22.15
40,Teguise,ES,2022-07-28 23:41:03,29.0605,-13.564,71.82,69,75,23.02
41,Hobart,AU,2022-07-28 23:40:21,-42.8794,147.3294,47.05,70,40,10.36
42,Yamada,JP,2022-07-28 23:41:04,39.4667,141.95,78.84,79,29,4.47
43,Bethel,US,2022-07-28 23:41:05,41.3712,-73.414,84.29,74,20,13.8
44,New Norfolk,AU,2022-07-28 23:42:05,-42.7826,147.0587,46.71,68,17,5.14
45,Sitka,US,2022-07-28 23:42:06,57.0531,-135.33,57.09,94,100,6.91
46,Punta Arenas,CL,2022-07-28 23:42:06,-53.15,-70.9167,39.31,87,40,23.02
47,Puerto Ayora,EC,2022-07-28 23:42:07,-0.7393,-90.3518,71.55,91,75,7.0
48,Sisimiut,GL,2022-07-28 23:42:08,66.9395,-53.6735,44.24,76,100,3.67
49,San Miguel,SV,2022-07-28 23:38:48,13.4833,-88.1833,87.4,66,20,2.3
50,East London,ZA,2022-07-28 23:42:08,-33.0153,27.9116,69.58,55,18,16.73
51,Roald,NO,2022-07-28 23:42:09,62.5833,6.1333,57.76,87,0,10.36
52,Cape Town,ZA,2022-07-28 23:39:39,-33.9258,18.4232,58.26,82,75,17.27
53,Mataura,NZ,2022-07-28 23:42:10,-46.1927,168.8643,47.48,87,85,3.62
54,Kapaa,US,2022-07-28 23:42:10,22.0752,-159.319,84.18,69,100,8.05
55,Cedar City,US,2022-07-28 23:40:01,37.6775,-113.0619,67.17,77,100,23.02
56,Mapiri,BO,2022-07-28 23:42:11,-15.25,-68.1667,69.85,72,36,0.58
57,San Patricio,US,2022-07-28 23:42:12,28.017,-97.5169,93.29,59,83,18.23
58,Sadiqabad,PK,2022-07-28 23:42:12,28.3062,70.1307,84.15,72,99,12.71
59,Urengoy,RU,2022-07-28 23:42:13,65.9667,78.3667,58.96,86,22,6.08
60,Saldanha,ZA,2022-07-28 23:42:14,-33.0117,17.9442,57.25,81,59,18.32
61,Jamestown,US,2022-07-28 23:42:14,42.097,-79.2353,78.39,46,0,18.41
62,Ozark,US,2022-07-28 23:42:15,37.0209,-93.206,89.46,59,95,7.18
63,Springdale,US,2022-07-28 23:39:10,36.1867,-94.1288,91.13,59,0,8.05
64,Tromso,NO,2022-07-28 23:42:16,69.6496,18.957,44.38,93,56,2.3
65,Nanortalik,GL,2022-07-28 23:42:16,60.1432,-45.2371,43.74,88,56,4.5
